WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (110.1601484 -7.8300714)",3401.0,34.0,KABUPATEN KULON PROGO,KABUPATEN KULON PROGO,-7.8300714,110.1601484
"POINT (110.3252996 -7.8734739)",3402.0,34.0,KABUPATEN BANTUL,KABUPATEN BANTUL,-7.8734739,110.3252996
"POINT (110.5892901 -7.9438034)",3403.0,34.0,KABUPATEN GUNUNG KIDUL,KABUPATEN GUNUNG KIDUL,-7.9438034,110.5892901
"POINT (110.3358612 -7.7148425)",3404.0,34.0,KABUPATEN SLEMAN,KABUPATEN SLEMAN,-7.7148425,110.3358612
"POINT (110.363842 -7.8001701)",3471.0,34.0,KOTA YOGYAKARTA,KOTA YOGYAKARTA,-7.8001701,110.363842
