WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (106.1194213 -6.3276758)",3601.0,36.0,KABUPATEN PANDEGLANG,KABUPATEN PANDEGLANG,-6.3276758,106.1194213
"POINT (106.0171996 -6.6020846)",3602.0,36.0,KABUPATEN LEBAK,KABUPATEN LEBAK,-6.6020846,106.0171996
"POINT (106.6399622 -6.1680856)",3603.0,36.0,KABUPATEN TANGERANG,KABUPATEN TANGERANG,-6.1680856,106.6399622
"POINT (106.0 -6.15)",3604.0,36.0,KABUPATEN SERANG,KABUPATEN SERANG,-6.15,106
"POINT (106.6356607 -6.1667254)",3671.0,36.0,KOTA TANGERANG,KOTA TANGERANG,-6.1667254,106.6356607
"POINT (106.01667 -6.01667)",3672.0,36.0,KOTA CILEGON,KOTA CILEGON,-6.01667,106.01667
"POINT (106.1520499 -6.1160717)",3673.0,36.0,KOTA SERANG,KOTA SERANG,-6.1160717,106.1520499
"POINT (106.71244 -6.29373)",3674.0,36.0,KOTA TANGERANG SELATAN,KOTA TANGERANG SELATAN,-6.29373,106.71244
