WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (106.6127928 -5.7477998)",3101.0,31.0,KABUPATEN KEPULAUAN SERIBU,KABUPATEN KEPULAUAN SERIBU,-5.7477998,106.6127928
"POINT (106.8135 -6.266)",3171.0,31.0,KOTA JAKARTA SELATAN,KOTA JAKARTA SELATAN,-6.266,106.8135
"POINT (106.8963595 -6.2275269)",3172.0,31.0,KOTA JAKARTA TIMUR,KOTA JAKARTA TIMUR,-6.2275269,106.8963595
"POINT (106.8224472 -6.1906705)",3173.0,31.0,KOTA JAKARTA PUSAT,KOTA JAKARTA PUSAT,-6.1906705,106.8224472
"POINT (106.7673 -6.1676)",3174.0,31.0,KOTA JAKARTA BARAT,KOTA JAKARTA BARAT,-6.1676,106.7673
"POINT (106.8864198 -6.150968)",3175.0,31.0,KOTA JAKARTA UTARA,KOTA JAKARTA UTARA,-6.150968,106.8864198
