WKT,id,name,alt_name,latitude,longitude
"POINT (111.4704252 -0.3190071)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.3190071,111.4704252
"POINT (113.367235 -1.6643158)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.6643158,113.367235
"POINT (115.2383197 -3.0751484)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.0751484,115.2383197
"POINT (116.4232732 0.5797186)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.5797186,116.4232732
"POINT (116.0211146 3.083223)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,3.083223,116.0211146
