WKT,id,name,alt_name,latitude,longitude
"POINT (117.3018533 -8.5892962)",52.0,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5892962,117.3018533
"POINT (121.065903 -8.5928445)",53.0,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.5928445,121.065903
"POINT (130.0964407 -3.1901474)",81.0,MALUKU,MALUKU,-3.1901474,130.0964407
"POINT (127.7303194 1.6405979)",82.0,MALUKU UTARA,MALUKU UTARA,1.6405979,127.7303194
"POINT (133.111276 -1.2304615)",91.0,PAPUA BARAT,PAPUA BARAT,-1.2304615,133.111276
"POINT (138.0189212 -4.1858473)",94.0,PAPUA,PAPUA,-4.1858473,138.0189212
