WKT,id,name,alt_name,latitude,longitude
"POINT (124.09015 0.65557)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.65557,124.09015
"POINT (121.4131086 -1.4082263)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.4082263,121.4131086
"POINT (119.94719 -3.64467)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
"POINT (122.1783963 -4.0588905)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-4.0588905,122.1783963
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.238087 -2.8102414)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.8102414,119.238087
