WKT,id,name,alt_name,latitude,longitude
"POINT (106.8336997 -6.2509843)",31.0,DKI JAKARTA,DKI JAKARTA,-6.2509843,106.8336997
"POINT (107.6074947 -7.2054191)",32.0,JAWA BARAT,JAWA BARAT,-7.2054191,107.6074947
"POINT (110.0153894 -7.161523)",33.0,JAWA TENGAH,JAWA TENGAH,-7.161523,110.0153894
"POINT (110.3695 -7.7956)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.7956,110.3695
"POINT (112.1782445 -7.5897624)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5897624,112.1782445
"POINT (106.13756 -6.44538)",36.0,BANTEN,BANTEN,-6.44538,106.13756
"POINT (115.12239 -8.23566)",51.0,BALI,BALI,-8.23566,115.12239
